id_alumno,nombre,apellido,domicilio,telefono,fecha_ingreso
1,Bartholomeus,Colaton,1218 Hanson Lane,593-105-0318,1970
2,Frazer,Loughton,66 Oneill Plaza,205-774-0720,2002
3,Kacie,Hardy,47024 Portage Park,540-836-9148,2003
4,Frederico,Brader,992 Declaration Plaza,781-794-6359,2003
5,Abraham,O'Noulane,661 Granby Center,142-228-5262,2009
6,Anett,Churly,49637 Linden Pass,780-883-8168,2010
7,Kalinda,Drabble,92 Starling Point,462-960-1205,1997
8,Damiano,Shory,327 Upham Parkway,336-796-1125,2000
9,Orran,Pauwel,4 Browning Plaza,671-677-3359,2003
10,Tad,Di Francesco,15326 Weeping Birch Junction,824-961-73472005
11,Thurston,Goodyer,60 Holy Cross Place,677-771-3214,1998
12,Kerwinn,Djekic,1161 Hoard Center,543-300-6608,1984
13,Cristal,Iacovelli,57 Thackeray Terrace,239-551-0849,2004
14,Leopold,Vasilevich,57 Luster Court,173-867-7271,1990
15,Zelma,Marr,1 Stephen Hill,171-433-2753,2005
16,Joshuah,McEttigen,392 New Castle Point,811-586-8159,2012
17,Edik,Mandrier,21 Tennyson Road,979-927-5680,1992
18,Shurwood,Robison,658 Harbort Avenue,862-588-8427,2006
19,Bathsheba,Aristide,15920 Everett Lane,740-158-9416,1992
20,Sybilla,Pengilley,08 Northfield Junction,757-837-5068,2009
21,Scottie,Ferdinand,35268 Cardinal Avenue,130-447-2186,2006
22,Estelle,Ord,87867 Amoth Hill,420-442-7218,2004
23,Jeremy,Popple,17 Namekagon Lane,317-731-8707,2005
24,Ophelia,Edwardson,16 South Hill,240-261-1709,1961
25,Tera,Pickrell,70410 Kim Junction,482-120-8552,1972
26,Dayle,Ciccarelli,737 Nova Lane,381-132-1182,1985
27,Shandie,Huckfield,88 Laurel Drive,131-532-3288,2007
28,Thatcher,Bootyman,62 Veith Plaza,348-944-4877,2000
29,Madeleine,Castro,94 Reindahl Terrace,794-650-7163,2012
30,Jermain,Thurske,6 Ramsey Court,989-660-5167,2000
31,Farlay,Caunt,04166 Reindahl Junction,716-484-3462,2013
32,Sander,Jahnke,64 Scott Park,256-722-6519,1992
33,Teddi,Quest,0368 Oakridge Trail,950-563-3963,1997
34,Elsworth,Rupert,3 Paget Place,479-809-2820,2005
35,Gabie,Towsey,7 Hazelcrest Point,496-716-4568,2011
36,Pate,Aldred,864 Northfield Hill,605-543-6824,1966
37,Clemens,Dunbar,74594 Warner Way,459-726-1313,2000
38,Pietro,Worsalls,4616 Blaine Road,325-844-0169,2007
39,Brian,McCotter,30512 Troy Terrace,621-475-6930,1987
40,Juliana,Coogan,5 Maywood Avenue,151-990-4276,2002
41,Kylila,Goaley,577 Dexter Place,604-305-7422,1996
42,Fernande,Pashley,1391 Morning Road,566-152-6372,2011
43,Sutton,Zorn,59 Dayton Lane,651-616-6634,1994
44,Angelico,Harlowe,6 Oak Valley Park,106-778-2233,2000
45,Tandie,Dinsdale,1568 Northland Street,690-160-4446,2004
46,Chariot,Broggelli,49 Meadow Vale Point,622-914-3210,1998
47,Fallon,Gilliver,74949 Golf Alley,515-455-6535,2011
48,Daryl,Dimmock,02 Monterey Terrace,394-421-2070,2002
49,Barry,Stollberg,18 Utah Terrace,418-135-3323,2002
50,Bert,Eustanch,86 Harbort Junction,179-409-0761,1994
