id_padres,nombre,apellido,ocupacion,domicilio,telefono,ALUMNOS_id_alumno
1,Laina,Janaszewski,Statistician II,1 Pennsylvania Court,134-878-8114,1
2,Ruperto,Gannan,Analog Circuit Design manager,64 Gina Hill,850-400-3849,2
3,Brittne,Prisley,Programmer IV,385 Aberg Plaza,240-964-4755,3
4,Joey,Guihen,Biostatistician IV,94056 Meadow Ridge Trail,447-707-5570,4
5,Warde,Branwhite,Nurse,36 Nelson Circle,525-147-0661,5
6,Ingar,Moland,Nuclear Power Engineer,7 Derek Pass,459-728-7743,6
7,Gauthier,Thickpenny,Information Systems Manager,08 Vahlen Lane,759-483-6950,7
8,Midge,Brimblecombe,Help Desk Operator,63 Summer Ridge Terrace,731-838-6350,8
9,Phil,Crellim,Financial Advisor,3 Arkansas Circle,158-794-8648,9
10,Delinda,Margett,Senior Sales Associate,50647 Badeau Hill,798-817-2768,10
11,Shirl,Raselles,Statistician II,1364 Kensington Avenue,211-217-0923,11
12,Clara,Vaskin,Automation Specialist I,60 Lakewood Hill,789-529-0531,12
13,Merlina,Kadwallider,Quality Control Specialist,4 Coolidge Junction,140-310-8371,13
14,Aurie,Scurr,Systems Administrator III,51407 Melody Avenue,202-956-9795,14
15,Karol,Marco,Health Coach IV,5647 Hoepker Road,360-443-8018,15
16,Jennine,Deave,Analyst Programmer,075 Del Sol Point,643-297-3044,16
17,Neal,Rainford,Professor,94559 Weeping Birch Place,378-358-8005,17
18,Kathi,Schoroder,Environmental Specialist,254 Clyde Gallagher Circle,837-156-8835,18
19,Barbe,Chaplain,Assistant Professor,02 Sunbrook Park,907-428-3285,19
20,Emmi,Pettegre,Engineer III,433 Clyde Gallagher Parkway,649-164-4256,20
21,Eziechiele,Tunno,Statistician III,30 Glacier Hill Avenue,317-732-7470,21
22,Sallyann,Rydzynski,VP Product Management,95230 Starling Trail,808-701-8931,22
23,Gui,Greatland,Community Outreach Specialist,3697 Surrey Park,209-119-6362,23
24,Conney,Cowtherd,Senior Editor,799 Algoma Court,520-423-9851,24
25,Elizabet,Stratton,Media Manager II,08 Stoughton Parkway,330-514-5530,25
26,Martica,Starte,Cost Accountant,57914 Blue Bill Park Circle,790-356-3265,26
27,Jeri,Sheraton,Office Assistant I,248 Summer Ridge Park,484-215-3951,27
28,Drusi,McDavid,Paralegal,1340 Harbort Center,750-468-9903,28
29,Stillman,Dunthorne,Tax Accountant,54695 Pepper Wood Junction,226-805-6560,29
30,Eden,Le Brun,Legal Assistant,68788 Westridge Hill,115-569-9957,30
31,Eleonora,McKeachie,Compensation Analyst,838 Mayfield Park,243-738-2642,31
32,Georgy,Bolam,Food Chemist,350 Hauk Parkway,746-613-4676,32
33,Trescha,Trusler,Information Systems Manager,90049 Kings Junction,816-376-7876,33
34,Adel,Hullyer,Analyst Programmer,0047 Canary Lane,839-917-4487,34
35,Quintina,Thresher,Teacher,57 Arrowood Crossing,382-552-7827,35
36,Ingrid,McMeeking,Cost Accountant,81803 Elmside Avenue,188-995-7822,36
37,Lorry,Scrancher,VP Marketing,998 Kennedy Circle,638-457-5721,37
38,Raquel,Sawden,Database Administrator IV,97 Dapin Road,328-986-0822,38
39,Ysabel,Gascone,Dental Hygienist,41660 Corry Road,719-796-1655,39
40,Cybil,Scarisbrick,Web Designer I,18242 Arapahoe Hill,618-714-2009,40
41,Boigie,Appleyard,VP Marketing,3 Jana Circle,152-157-7824,41
42,Margalo,Francescuccio,Environmental Specialist,98550 Marcy Plaza,381-956-2161,42
43,Tad,McBean,Teacher,82 Sycamore Terrace,498-598-1366,43
44,Latrena,Illwell,Web Designer III,1 Kipling Point,448-132-3559,44
45,Allyn,Bardsley,Marketing Assistant,5447 Riverside Crossing,890-819-6064,45
46,Edeline,Whelband,Web Developer III,3 Forster Terrace,850-848-0333,46
47,Ralf,Pietrowicz,Software Consultant,48 Judy Terrace,814-857-4803,47
48,Anneliese,Ciabatteri,Paralegal,924 Boyd Drive,304-978-9866,48
49,Jaine,Bengall,Research Associate,02 Ilene Center,475-122-1038,49
50,Anabella,Reynard,Sales Associate,6 5th Point,162-670-1098,50
51,Constantia,Goolden,Web Designer I,6 Duke Alley,155-208-4512,51
52,Nikos,Sheals,Analog Circuit Design manager,4548 Stephen Junction,719-421-4049,52
53,Mirabel,Teaser,Office Assistant III,95 Esker Crossing,484-823-8434,53
54,Dix,Kamena,Recruiting Manager,7795 South Court,863-988-7123,54
55,Donielle,Broady,Internal Auditor,9 Gulseth Crossing,658-117-2480,55
